id,year,issue_d,emp_length_int,home_ownership,income_category,annual_inc,loan_amount,term,application_type,purpose,interest_payments,loan_condition,interest_rate,grade,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
449777,11435650,2014,01/01/2014,3.0,MORTGAGE,Medium,104000,32000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,9.67,B,19.36,35981.75,32000.0,0.0,1027.6,munster
449799,11455655,2014,01/01/2014,10.0,MORTGAGE,Low,75000,10000, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.98,C,19.55,7970.88,5865.19,0.0,346.56,ulster
449822,11355380,2014,01/01/2014,5.0,RENT,Low,75000,12000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,7.9,A,26.83,8636.27,7336.62,0.0,375.49,Northern-Irl
449839,10588629,2014,01/01/2014,5.0,MORTGAGE,Low,37000,9600, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,12.85,B,23.09,7423.71,5702.42,0.0,322.77,leinster
449843,11365751,2014,01/01/2014,5.0,RENT,Low,36000,10000, 60 months,INDIVIDUAL,debt_consolidation,High,Bad Loan,22.9,E,22.9,5145.82,1922.3,0.0,281.34,leinster
449862,11435570,2014,01/01/2014,10.0,RENT,Low,50000,9300, 36 months,INDIVIDUAL,credit_card,High,Good Loan,14.98,C,29.82,7090.6,5183.69,0.0,322.3,leinster
449864,11425659,2014,01/01/2014,0.5,MORTGAGE,Low,80000,12000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,12.85,B,18.29,9279.81,7128.22,0.0,403.47,Northern-Irl
449865,11415647,2014,01/01/2014,10.0,MORTGAGE,Medium,115000,35000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,15.61,C,26.38,19409.7,10341.37,0.0,843.9,ulster
449866,11425675,2014,01/01/2014,10.0,RENT,Low,41000,12000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,7.9,A,26.11,8636.27,7336.62,0.0,375.49,cannught
449867,11445614,2014,01/01/2014,0.5,MORTGAGE,Low,86000,17000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,9.67,B,33.11,12556.16,10288.04,0.0,545.92,cannught
449869,11375669,2014,01/01/2014,10.0,RENT,Low,60000,15825, 36 months,INDIVIDUAL,credit_card,High,Good Loan,16.99,D,13.62,12974.99,9169.63,0.0,564.13,leinster
449870,11395544,2014,01/01/2014,10.0,RENT,Low,52000,20775, 36 months,INDIVIDUAL,credit_card,High,Bad Loan,20.5,E,24.07,5925.64,1289.2,2816.12,777.38,munster
449872,11405575,2014,01/01/2014,7.0,MORTGAGE,Medium,102000,15475, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,24.5,F,29.04,17026.88,15475.0,0.0,449.69,ulster
449875,11365701,2014,01/01/2014,10.0,MORTGAGE,Medium,120000,10000, 36 months,INDIVIDUAL,home_improvement,High,Good Loan,13.53,B,15.02,11425.86,10000.0,0.0,339.5,leinster
449878,11455530,2014,01/01/2014,10.0,MORTGAGE,Medium,155000,14000, 60 months,INDIVIDUAL,credit_card,High,Good Loan,14.47,C,15.11,7571.14,4221.49,0.0,329.18,Northern-Irl
449879,11435537,2014,01/01/2014,4.0,MORTGAGE,Medium,130000,34000, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.98,C,9.71,27100.67,19941.27,0.0,1178.29,munster
