id,year,issue_d,emp_length_int,home_ownership,income_category,annual_inc,loan_amount,term,application_type,purpose,interest_payments,loan_condition,interest_rate,grade,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
238759,36300558,2014,01/11/2014,7.0,MORTGAGE,Low,72860,15600, 36 months,INDIVIDUAL,home_improvement,Low,Good Loan,12.39,C,12.44,6752.3,4981.05,0.0,521.06,munster
238969,36300525,2014,01/11/2014,10.0,MORTGAGE,Low,81000,6000, 36 months,INDIVIDUAL,home_improvement,Low,Good Loan,6.49,A,11.64,2388.95,2033.61,0.0,183.87,leinster
239060,36270405,2014,01/11/2014,6.05,RENT,Low,40476,11325, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,25.57,F,27.16,4338.42,1404.18,0.0,336.2,munster
239072,36220392,2014,01/11/2014,9.0,RENT,Low,99581,32000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.99,C,12.18,9841.13,5066.65,0.0,761.11,ulster
239073,36260413,2014,01/11/2014,10.0,MORTGAGE,Low,55000,20000, 60 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,10.49,B,14.66,5563.83,3493.84,0.0,429.78,leinster
239078,36300289,2014,01/11/2014,1.0,RENT,Low,46000,4900, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,8.67,B,11.14,2811.19,2432.07,0.0,155.07,ulster
239080,36410422,2014,01/11/2014,8.0,MORTGAGE,Low,86000,24000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,17.14,D,2.69,7731.8,3621.18,0.0,598.27,ulster
239085,36250418,2014,01/11/2014,10.0,RENT,Low,90000,21000, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,6.99,A,11.0,8411.98,7082.23,0.0,648.33,ulster
239087,36410402,2014,01/11/2014,10.0,RENT,Low,59500,21350, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,17.14,D,28.32,9874.18,6488.15,0.0,762.68,leinster
239095,36280367,2014,01/11/2014,2.0,OWN,Medium,120000,33000, 60 months,INDIVIDUAL,debt_consolidation,Low,Bad Loan,12.39,C,12.9,2176.34,1212.02,0.0,740.59,ulster
239107,36380406,2014,01/11/2014,6.05,OWN,Low,61200,12000, 60 months,INDIVIDUAL,other,High,Good Loan,15.59,D,21.39,3738.94,1874.77,0.0,289.21,ulster
239109,36360399,2014,01/11/2014,0.5,OWN,Low,34000,12000, 36 months,INDIVIDUAL,debt_consolidation,High,Bad Loan,13.66,C,19.34,4063.39,2859.01,0.0,408.16,leinster
239117,36310380,2014,01/11/2014,6.0,OWN,Low,70000,2300, 36 months,INDIVIDUAL,major_purchase,Low,Good Loan,6.99,A,7.78,921.34,775.71,0.0,71.01,leinster
239120,36260411,2014,01/11/2014,5.0,MORTGAGE,Medium,110000,4200, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,11.99,B,14.11,4487.15,4200.0,0.0,139.49,Northern-Irl
239121,36370401,2014,01/11/2014,4.0,RENT,Low,49000,10575, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,18.54,E,25.67,12323.02,10575.0,0.0,385.19,leinster
239122,36280382,2014,01/11/2014,5.0,MORTGAGE,Medium,110000,7000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,6.49,A,18.87,2783.71,2372.62,0.0,214.52,Northern-Irl
239140,36400380,2014,01/11/2014,6.0,MORTGAGE,Low,54000,11200, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,15.59,D,29.91,11813.04,11200.0,0.0,269.93,leinster
239142,36320486,2014,01/11/2014,10.0,MORTGAGE,Medium,150000,24000, 60 months,INDIVIDUAL,credit_card,High,Good Loan,13.66,C,18.71,7168.43,3913.49,0.0,554.22,leinster
239149,36280372,2014,01/11/2014,4.0,RENT,Low,33000,2400, 36 months,INDIVIDUAL,other,Low,Good Loan,12.39,C,32.36,1038.91,766.41,0.0,80.17,Northern-Irl
239162,36270434,2014,01/11/2014,6.0,RENT,Low,65000,11200, 60 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,11.44,B,31.74,3183.5,1916.91,0.0,245.98,ulster
239165,36320492,2014,01/11/2014,8.0,MORTGAGE,Low,50000,9600, 36 months,INDIVIDUAL,medical,Low,Good Loan,8.67,B,32.09,3940.28,3183.54,0.0,303.81,munster
239178,35988178,2014,01/11/2014,10.0,RENT,Low,52000,17000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,11.44,B,12.25,7259.82,5481.15,0.0,560.11,ulster
239180,36430313,2014,01/11/2014,10.0,OWN,Low,40800,15000, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.31,C,23.18,15421.0,15000.0,0.0,514.93,munster
239185,36200416,2014,01/11/2014,2.0,RENT,Low,63700,25000, 60 months,INDIVIDUAL,debt_consolidation,High,Bad Loan,24.5,F,29.92,4290.82,1364.38,0.0,726.48,leinster
239193,36270353,2014,01/11/2014,10.0,RENT,Low,59520,5000, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,8.19,A,16.53,2038.14,1666.21,0.0,157.13,ulster
239194,36400312,2014,01/11/2014,9.0,MORTGAGE,Low,53000,10800, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,6.99,A,21.44,4326.2,3642.33,0.0,333.43,Northern-Irl
239196,36410308,2014,01/11/2014,2.0,MORTGAGE,Medium,105000,8000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,8.67,B,17.9,3518.77,2867.56,0.0,253.18,leinster
239198,36370240,2014,01/11/2014,0.5,MORTGAGE,Medium,195000,28000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,6.99,A,12.24,11215.97,9442.98,0.0,864.44,munster
239199,36250382,2014,01/11/2014,3.0,RENT,Low,19000,6050, 36 months,INDIVIDUAL,major_purchase,High,Good Loan,19.99,E,39.99,2909.09,1783.77,0.0,224.81,cannught
239206,36179482,2014,01/11/2014,10.0,RENT,Low,54000,16150, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,25.57,F,31.13,6186.84,2002.47,0.0,479.44,leinster
239210,36420389,2014,01/11/2014,0.5,OWN,Low,25000,10400, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.99,C,14.05,3198.49,1646.79,0.0,247.37,leinster
239213,36440332,2014,01/11/2014,10.0,MORTGAGE,Medium,118040,7000, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.99,C,10.58,7764.03,7000.0,0.0,242.63,leinster
239215,36220382,2014,01/11/2014,9.0,OWN,Low,55000,10800, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,8.19,A,21.74,11434.69,10800.0,0.0,339.39,ulster
239227,36330353,2014,01/11/2014,3.0,RENT,Low,48000,14375, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,18.54,E,31.85,4770.9,2101.1,0.0,369.27,cannught
239232,36370396,2014,01/11/2014,10.0,MORTGAGE,Medium,120000,5000, 36 months,INDIVIDUAL,other,Low,Good Loan,11.99,B,7.24,2151.99,1603.07,0.0,166.05,Northern-Irl
239237,36290280,2014,01/11/2014,3.0,RENT,Low,69300,18000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,9.49,B,21.75,7493.24,5919.81,0.0,576.51,leinster
239239,36430267,2014,01/11/2014,4.0,MORTGAGE,Low,92000,18000, 60 months,INDIVIDUAL,debt_consolidation,High,Bad Loan,18.54,E,19.62,2274.87,950.37,0.0,462.39,munster
239241,36360338,2014,01/11/2014,10.0,RENT,Medium,110000,12500, 60 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,9.49,B,14.34,3398.93,2230.92,0.0,262.47,Northern-Irl
239243,36230327,2014,01/11/2014,10.0,RENT,Low,97000,10000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,20.99,E,36.19,3492.92,1381.44,0.0,270.48,munster
239247,36310350,2014,01/11/2014,10.0,RENT,Medium,185000,25000, 60 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,10.49,B,11.05,6954.85,4367.37,0.0,537.23,Northern-Irl
239260,36300368,2014,01/11/2014,10.0,RENT,Low,64000,12000, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,11.99,B,17.36,5164.77,3847.36,0.0,398.52,ulster
239262,36410359,2014,01/11/2014,5.0,MORTGAGE,Low,95000,18000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,8.19,A,13.66,7336.94,5997.99,0.0,565.64,leinster
239271,36210387,2014,01/11/2014,10.0,RENT,Low,65000,25000, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.31,C,16.4,11116.98,7825.54,0.0,858.21,Northern-Irl
239274,36210327,2014,01/11/2014,2.0,MORTGAGE,Medium,105000,16000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,7.49,A,15.31,6455.87,5369.08,0.0,497.63,munster
239277,36410383,2014,01/11/2014,10.0,RENT,Low,65000,8000, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,13.66,C,16.25,9024.87,8000.0,0.0,272.11,ulster
239279,36430320,2014,01/11/2014,7.0,RENT,Low,52800,6600, 36 months,INDIVIDUAL,medical,High,Good Loan,13.66,C,16.91,2908.35,2079.99,0.0,224.49,leinster
239283,36039852,2014,01/11/2014,2.0,MORTGAGE,Low,69000,11925, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,18.54,E,12.9,13958.68,11925.0,0.0,306.34,Northern-Irl
239291,36149346,2014,01/11/2014,10.0,RENT,Low,70000,8000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,11.99,B,11.5,3443.18,2564.91,0.0,265.68,ulster
239293,36128972,2014,01/11/2014,10.0,MORTGAGE,Low,67000,9500, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.31,C,13.02,4224.46,2973.71,0.0,326.12,Northern-Irl
239294,36430365,2014,01/11/2014,1.0,RENT,Low,33500,2500, 36 months,INDIVIDUAL,moving,High,Good Loan,14.99,C,24.04,1122.42,777.16,0.0,86.66,leinster
239301,36350292,2014,01/11/2014,5.0,MORTGAGE,Medium,115000,30000, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,6.99,A,7.17,31716.55,30000.0,0.0,926.18,ulster
239314,36420378,2014,01/11/2014,2.0,RENT,Low,24012,5000, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.31,C,21.54,2223.5,1565.22,0.0,171.65,ulster
239319,36410379,2014,01/11/2014,1.0,RENT,Low,30000,2400, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,13.66,C,23.17,1057.68,756.46,0.0,81.64,leinster
239320,36330341,2014,01/11/2014,1.0,MORTGAGE,Low,65900,7200, 36 months,INDIVIDUAL,home_improvement,Low,Good Loan,11.44,B,14.15,7591.99,7200.0,0.0,237.23,leinster
239325,36410331,2014,01/11/2014,10.0,RENT,Low,45000,10575, 36 months,INDIVIDUAL,debt_consolidation,High,Bad Loan,18.54,E,15.01,3444.93,2124.18,0.0,385.19,ulster
239326,36320389,2014,01/11/2014,10.0,OWN,Low,62000,10200, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,11.44,B,12.41,4355.94,3288.74,0.0,336.07,leinster
239343,34923420,2014,01/11/2014,10.0,MORTGAGE,Low,90000,28000, 60 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,12.39,C,18.71,8130.39,4694.5,0.0,628.38,munster
239344,36390279,2014,01/11/2014,7.0,MORTGAGE,Low,70000,16000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,19.99,E,25.9,5474.12,2262.12,0.0,423.82,leinster
239345,36440284,2014,01/11/2014,5.0,OWN,Low,64500,2100, 36 months,INDIVIDUAL,vacation,High,Good Loan,13.66,C,12.52,925.4,661.83,0.0,71.43,cannught
239348,36410309,2014,01/11/2014,10.0,MORTGAGE,Medium,114500,24000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,19.99,E,22.07,8211.05,3393.03,0.0,635.72,cannught
239349,36270260,2014,01/11/2014,7.0,RENT,Low,21240,8475, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,18.54,E,13.73,3995.64,2537.73,0.0,308.7,leinster
239350,36390300,2014,01/11/2014,6.0,MORTGAGE,Medium,125000,8000, 36 months,INDIVIDUAL,vacation,Low,Bad Loan,8.67,B,4.8,1517.34,1198.61,0.0,253.18,ulster
239353,35969815,2014,01/11/2014,3.0,MORTGAGE,Low,45000,22425, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,20.99,E,21.28,10929.45,6541.24,0.0,844.75,munster
239354,35958295,2014,01/11/2014,3.0,RENT,Low,96000,8500, 36 months,INDIVIDUAL,debt_consolidation,Low,Bad Loan,9.49,B,7.89,2441.29,1904.72,0.0,272.25,leinster
239355,36410265,2014,01/11/2014,6.0,MORTGAGE,Medium,140000,16800, 60 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,12.99,C,19.96,4943.96,2780.06,0.0,382.17,leinster
239357,35654082,2014,01/11/2014,6.0,RENT,Low,14880,4450, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,12.39,C,17.98,1926.19,1420.94,0.0,148.64,ulster
