id,year,issue_d,emp_length_int,home_ownership,income_category,annual_inc,loan_amount,term,application_type,purpose,interest_payments,loan_condition,interest_rate,grade,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
417824,13316524,2014,01/03/2014,10.0,MORTGAGE,Low,40000,9000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,10.99,B,18.72,9392.513604,9000.0,0.0,294.61,ulster
417825,13326756,2014,01/03/2014,2.0,RENT,Low,50000,12000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,9.67,B,6.36,8092.35,6575.98,0.0,385.35,ulster
417828,13296789,2014,01/03/2014,5.0,MORTGAGE,Low,60000,3200, 36 months,INDIVIDUAL,home_improvement,High,Good Loan,23.43,F,29.78,4164.22,3200.0,0.0,124.59,leinster
417832,13286705,2014,01/03/2014,1.0,RENT,Low,50000,6000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,12.99,B,16.71,4244.94,3215.32,0.0,202.14,ulster
417834,13306787,2014,01/03/2014,2.0,RENT,Low,40000,1500, 36 months,INDIVIDUAL,debt_consolidation,High,Bad Loan,14.64,C,15.54,0.0,0.0,0.0,51.74,ulster
417835,13356792,2014,01/03/2014,6.0,RENT,Low,86400,11200, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,13.65,C,21.53,5430.18,3091.91,0.0,258.58,ulster
417836,13286735,2014,01/03/2014,0.5,RENT,Low,50000,5000, 36 months,INDIVIDUAL,car,Low,Good Loan,7.9,A,5.05,5175.25,5000.0,0.0,156.46,ulster
417837,13356770,2014,01/03/2014,1.0,OWN,Low,29000,3200, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,15.31,C,19.99,2339.82,1687.8,0.0,111.42,ulster
417838,13296798,2014,01/03/2014,8.0,MORTGAGE,Low,100000,20000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,11.99,B,29.88,13948.2,10790.58,0.0,664.2,cannught
417839,13346785,2014,01/03/2014,10.0,MORTGAGE,Low,65000,8600, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.16,C,19.7,9643.82,8600.0,0.0,294.6,leinster
417840,13296823,2014,01/03/2014,10.0,MORTGAGE,Low,60000,9950, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,11.99,B,22.35,6939.24,5368.33,0.0,330.44,ulster
417841,13366739,2014,01/03/2014,8.0,MORTGAGE,Low,90384,21000, 60 months,INDIVIDUAL,credit_card,High,Good Loan,14.64,C,23.74,10408.23,5691.56,0.0,495.63,leinster
417842,13356826,2014,01/03/2014,10.0,MORTGAGE,Low,89000,21600, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,12.99,B,20.58,24274.83,21600.0,0.0,727.69,ulster
417843,13336743,2014,01/03/2014,4.0,MORTGAGE,Low,57000,14350, 60 months,INDIVIDUAL,other,High,Good Loan,21.18,E,7.49,17847.26,14350.0,0.0,389.68,cannught
417845,13366754,2014,01/03/2014,3.0,OWN,Low,42000,12500, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,7.9,A,22.31,8213.73,6930.92,0.0,391.13,leinster
417846,13296758,2014,01/03/2014,0.5,RENT,Low,80000,9600, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,7.62,A,7.8,10457.84,9600.0,0.0,299.15,ulster
417847,13286785,2014,01/03/2014,8.0,MORTGAGE,Low,90000,15000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,7.62,A,16.0,9817.53,8332.62,0.0,467.43,cannught
417848,13366790,2014,01/03/2014,10.0,MORTGAGE,Low,68000,20400, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,17.57,D,11.86,10778.67,5231.38,0.0,513.27,leinster
417850,13366806,2014,01/03/2014,3.0,RENT,Low,84000,15000, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,13.65,C,15.23,17631.81,15000.0,0.0,510.12,leinster
417851,13286790,2014,01/03/2014,10.0,RENT,Low,94700,15000, 36 months,INDIVIDUAL,small_business,High,Good Loan,18.25,D,33.87,15469.48,15000.0,0.0,544.17,munster
417852,13316782,2014,01/03/2014,10.0,MORTGAGE,Low,22520,8050, 36 months,INDIVIDUAL,debt_consolidation,High,Bad Loan,17.57,D,24.89,5786.7,3950.94,0.0,289.3,munster
417855,13346761,2014,01/03/2014,2.0,MORTGAGE,Low,60000,19200, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,7.9,A,16.24,12616.38,10645.98,0.0,600.78,leinster
417856,13346819,2014,01/03/2014,10.0,RENT,Low,60000,15000, 60 months,INDIVIDUAL,moving,High,Bad Loan,26.06,G,20.78,7194.4,2340.44,0.0,449.65,ulster
417857,13366816,2014,01/03/2014,3.0,RENT,Low,65000,10000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,8.9,A,12.15,6668.34,5508.31,0.0,317.54,ulster
417858,13296601,2014,01/03/2014,4.0,MORTGAGE,Low,38000,3500, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,18.92,D,24.73,2691.36,1800.07,0.0,128.16,leinster
417859,13306739,2014,01/03/2014,10.0,RENT,Medium,120000,18500, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,6.62,A,20.04,19853.87,18500.0,0.0,568.02,leinster
417862,13296794,2014,01/03/2014,2.0,OWN,Low,49556,20000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,7.62,A,10.17,13087.83,11109.94,0.0,623.23,Northern-Irl
417866,13366801,2014,01/03/2014,5.0,RENT,Low,36000,15000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,18.25,D,12.6,8041.95,3796.86,0.0,382.95,Northern-Irl
417867,13306705,2014,01/03/2014,10.0,RENT,Low,54150,21000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,19.99,E,23.58,11681.46,5139.54,0.0,556.26,leinster
417870,13306768,2014,01/03/2014,9.0,RENT,Low,33000,10000, 36 months,INDIVIDUAL,other,Low,Good Loan,12.49,B,11.75,11187.06,10000.0,0.0,334.49,ulster
417873,13336740,2014,01/03/2014,3.0,MORTGAGE,Medium,145000,16000, 60 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,12.99,B,9.36,7643.37,4471.07,0.0,363.97,leinster
417875,13346823,2014,01/03/2014,5.0,RENT,Low,30000,10000, 36 months,INDIVIDUAL,credit_card,High,Good Loan,13.65,C,16.56,8645.09,6838.01,0.0,340.08,Northern-Irl
417876,13336726,2014,01/03/2014,10.0,MORTGAGE,Low,87000,7500, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.16,C,9.37,8410.3,7500.0,0.0,256.92,leinster
417879,13366729,2014,01/03/2014,10.0,RENT,Low,91794,15000, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,21.18,E,14.22,19109.04,15000.0,0.0,566.52,Northern-Irl
417882,13158191,2014,01/03/2014,4.0,RENT,Low,84000,14600, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,15.31,C,14.95,10675.14,7700.24,0.0,508.34,ulster
417883,13276744,2014,01/03/2014,10.0,MORTGAGE,Low,62000,4200, 36 months,INDIVIDUAL,home_improvement,High,Good Loan,13.65,C,3.76,2999.64,2240.68,0.0,142.84,ulster
417884,13236781,2014,01/03/2014,10.0,MORTGAGE,Medium,130000,24000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,9.67,B,14.26,16184.7,13151.95,0.0,770.7,ulster
417885,13276794,2014,01/03/2014,4.0,MORTGAGE,Low,35000,10050, 36 months,INDIVIDUAL,debt_consolidation,High,Bad Loan,21.99,E,18.35,767.54,402.87,0.0,383.77,leinster
417886,13266750,2014,01/03/2014,1.0,MORTGAGE,Low,34000,12175, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,19.47,D,21.67,6698.79,3010.08,0.0,318.99,leinster
417894,13256754,2014,01/03/2014,7.0,RENT,Low,52000,12000, 36 months,INDIVIDUAL,credit_card,High,Bad Loan,17.57,D,23.42,8625.0,5838.0,0.0,431.25,ulster
