id,year,issue_d,emp_length_int,home_ownership,income_category,annual_inc,loan_amount,term,application_type,purpose,interest_payments,loan_condition,interest_rate,grade,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
296346,29003494,2014,01/09/2014,5.0,MORTGAGE,High,324388,28000, 36 months,INDIVIDUAL,home_improvement,Low,Good Loan,7.12,A,9.35,12991.5,10946.99,0.0,866.1,leinster
296611,28913233,2014,01/09/2014,6.0,MORTGAGE,Low,41500,3000, 36 months,INDIVIDUAL,other,Low,Good Loan,11.67,B,26.55,1487.7,1124.66,0.0,99.18,ulster
297561,27592013,2014,01/09/2014,8.0,MORTGAGE,Medium,165000,18000, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,13.98,C,27.36,9225.45,6601.7,0.0,615.03,ulster
302546,28172444,2014,01/09/2014,1.0,RENT,Low,67000,15000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,20.2,E,8.9,17302.09,15000.0,0.0,399.08,ulster
302646,28212255,2014,01/09/2014,3.0,MORTGAGE,Low,82000,20000, 60 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,10.99,B,26.14,6521.25,4025.55,0.0,434.75,munster
302652,28202142,2014,01/09/2014,10.0,MORTGAGE,Low,72800,6075, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,18.24,D,37.39,3305.4,2138.71,0.0,220.36,cannught
302660,28102226,2014,01/09/2014,10.0,MORTGAGE,Low,32000,9000, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,12.49,B,10.58,4515.6,3347.65,0.0,301.04,leinster
302662,28072219,2014,01/09/2014,10.0,MORTGAGE,Low,90000,20000, 60 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,12.99,C,30.17,6824.4,3861.08,0.0,454.96,cannught
302672,28072334,2014,01/09/2014,7.0,RENT,Low,30000,5000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,10.99,B,9.6,2455.05,1886.15,0.0,163.67,cannught
302704,28122319,2014,01/09/2014,6.0,RENT,Low,42500,15000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,16.29,D,22.03,5506.35,2699.26,0.0,367.09,Northern-Irl
302711,20349337,2014,01/09/2014,7.0,MORTGAGE,Low,54264,23275, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,17.57,D,33.02,8784.15,4073.93,0.0,585.61,leinster
302712,28132525,2014,01/09/2014,10.0,RENT,Low,72000,8000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,12.49,B,20.37,4014.0,2975.83,0.0,267.6,Northern-Irl
302734,28122281,2014,01/09/2014,10.0,MORTGAGE,Low,41000,6825, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.99,C,33.75,7349.39,6825.0,0.0,236.56,cannught
302744,28102242,2014,01/09/2014,1.0,RENT,Low,55000,8000, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,16.29,D,21.99,4236.15,2870.08,0.0,282.41,ulster
302747,27702335,2014,01/09/2014,3.0,MORTGAGE,Low,51000,7800, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,10.99,B,19.43,8406.97,7800.0,0.0,255.33,leinster
302799,28052496,2014,01/09/2014,10.0,MORTGAGE,Low,89000,2000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,9.17,B,12.07,2102.48,2000.0,0.0,63.76,ulster
302804,27502482,2014,01/09/2014,5.0,RENT,Low,56800,21000, 60 months,INDIVIDUAL,credit_card,High,Good Loan,13.98,C,32.05,7326.3,3970.34,0.0,488.42,ulster
302838,28112391,2014,01/09/2014,10.0,MORTGAGE,Low,90688,18625, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,16.29,D,34.41,6837.0,3351.52,0.0,455.8,cannught
302852,28122316,2014,01/09/2014,4.0,MORTGAGE,Medium,110000,7000, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.49,C,16.58,3613.8,2554.98,0.0,240.92,cannught
302888,28032412,2014,01/09/2014,2.0,MORTGAGE,Low,38000,13625, 36 months,INDIVIDUAL,debt_consolidation,High,Bad Loan,16.29,D,30.04,5290.67,3177.87,0.0,480.97,Northern-Irl
302918,28192471,2014,01/09/2014,10.0,OWN,High,205000,20000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.99,C,13.31,23164.56,20000.0,0.0,475.7,cannught
302936,28032523,2014,01/09/2014,3.0,RENT,Low,68000,17225, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,13.98,C,19.78,6009.3,3256.61,0.0,400.62,leinster
302948,28062557,2014,01/09/2014,0.5,MORTGAGE,Medium,115000,25000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.49,C,23.01,8821.2,4675.64,0.0,588.08,Northern-Irl
302952,28042338,2014,01/09/2014,2.0,MORTGAGE,Low,55000,8150, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,9.17,B,13.44,8403.13,8150.0,0.0,259.82,cannught
302977,28142381,2014,01/09/2014,10.0,MORTGAGE,Low,63200,10000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,22.15,E,37.93,4155.75,1581.37,0.0,277.05,cannught
302991,28172271,2014,01/09/2014,8.0,MORTGAGE,Medium,115000,10000, 36 months,INDIVIDUAL,home_improvement,Low,Good Loan,12.49,B,7.81,5017.35,3719.85,0.0,334.49,ulster
303001,28152127,2014,01/09/2014,10.0,RENT,Medium,110000,10200, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,12.99,C,18.58,5466.67,4050.24,0.0,343.63,ulster
303011,28272282,2014,01/09/2014,2.0,RENT,Medium,120000,15400, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,10.15,B,20.02,7470.0,5854.54,0.0,498.0,leinster
303022,28182264,2014,01/09/2014,10.0,MORTGAGE,Medium,101700,10000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,18.99,E,16.97,3890.4,1696.74,0.0,259.36,Northern-Irl
303025,28272296,2014,01/09/2014,2.0,RENT,Low,51000,4000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,12.99,C,20.87,2021.4,1480.89,0.0,134.76,leinster
303026,28222252,2014,01/09/2014,4.0,MORTGAGE,Low,73000,11000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,6.03,A,9.27,11268.69,11000.0,0.0,334.8,ulster
303037,28142441,2014,01/09/2014,10.0,MORTGAGE,Low,55000,21000, 60 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,12.49,B,24.02,7557.6,4393.29,0.0,472.35,munster
303055,28252077,2014,01/09/2014,10.0,MORTGAGE,Low,100000,15000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,10.15,B,12.96,15726.12,15000.0,0.0,485.07,cannught
303059,28252178,2014,01/09/2014,2.0,MORTGAGE,Medium,130000,24000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,11.67,B,17.03,25985.18,24000.0,0.0,793.37,cannught
303061,28062269,2014,01/09/2014,9.0,MORTGAGE,Low,98733,10000, 60 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,12.99,C,32.94,3412.2,1930.54,0.0,227.48,leinster
303097,28112334,2014,01/09/2014,10.0,RENT,Low,50000,6000, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,13.35,C,23.6,3047.7,2213.76,0.0,203.18,munster
303110,28042070,2014,01/09/2014,6.0,MORTGAGE,Low,72000,16000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,13.35,C,18.47,18212.61,16000.0,0.0,366.93,leinster
303114,28072094,2014,01/09/2014,7.0,RENT,Medium,102589,16800, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,16.29,D,9.04,8895.75,6027.34,0.0,593.05,ulster
303117,28252372,2014,01/09/2014,10.0,RENT,Low,58500,5000, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.99,C,29.48,5342.56,5000.0,0.0,173.31,cannught
303120,28112276,2014,01/09/2014,10.0,MORTGAGE,Low,88500,16225, 60 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,11.67,B,32.57,5373.3,3220.03,0.0,358.22,cannught
303121,28192110,2014,01/09/2014,10.0,RENT,Low,58800,17050, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,13.35,C,18.53,8660.55,6290.78,0.0,577.37,cannught
303123,28092195,2014,01/09/2014,10.0,MORTGAGE,Medium,110000,17000, 60 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,12.99,C,18.66,5800.8,3281.98,0.0,386.72,Northern-Irl
303127,28232154,2014,01/09/2014,10.0,OWN,Low,29000,6000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,8.39,A,20.41,3011.59,2481.82,0.0,189.1,Northern-Irl
303129,28102090,2014,01/09/2014,3.0,RENT,Low,59800,16000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,11.67,B,17.42,7933.8,5997.55,0.0,528.92,munster
303133,28142153,2014,01/09/2014,10.0,MORTGAGE,Medium,140000,35000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,25.57,F,13.6,15846.77,5119.29,0.0,1039.03,cannught
303134,28092155,2014,01/09/2014,4.0,RENT,Low,50000,9550, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,12.99,C,28.19,4826.1,3535.64,0.0,321.74,ulster
303171,28112166,2014,01/09/2014,8.0,RENT,Low,56500,6000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,12.49,B,14.21,3010.5,2231.87,0.0,200.7,leinster
303184,28172154,2014,01/09/2014,10.0,MORTGAGE,Low,83000,14400, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,15.61,D,33.36,5208.15,2629.54,0.0,347.21,ulster
303187,28152108,2014,01/09/2014,6.05,RENT,Low,58000,6600, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.99,C,17.86,3431.4,2397.42,0.0,228.76,ulster
303206,28142602,2014,01/09/2014,6.0,MORTGAGE,Low,65000,15000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,10.99,B,23.61,16002.84,15000.0,0.0,491.01,cannught
303224,28062193,2014,01/09/2014,7.0,MORTGAGE,Medium,140000,8400, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,6.03,A,9.18,3834.9,3316.86,0.0,255.66,cannught
303228,28222241,2014,01/09/2014,10.0,MORTGAGE,Low,37000,2500, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,7.12,A,9.43,1159.95,977.4,0.0,77.33,ulster
303235,27611626,2014,01/09/2014,10.0,RENT,Low,37000,6400, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,16.99,D,17.77,6711.14,6400.0,0.0,228.15,Northern-Irl
303239,28222240,2014,01/09/2014,10.0,RENT,Medium,101300,6000, 36 months,INDIVIDUAL,debt_consolidation,High,Bad Loan,13.35,C,19.06,2326.9,987.48,904.64,203.18,ulster
303250,28052043,2014,01/09/2014,10.0,RENT,Low,75000,21000, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,10.15,B,27.7,10186.5,7984.24,0.0,679.1,leinster
303270,28052390,2014,01/09/2014,3.0,MORTGAGE,Low,46000,4400, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,16.29,D,13.13,4757.51,4400.0,0.0,155.33,ulster
303273,28182148,2014,01/09/2014,3.0,RENT,Low,90000,5600, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,12.49,B,14.55,2809.8,2083.08,0.0,187.32,ulster
