id,year,issue_d,emp_length_int,home_ownership,income_category,annual_inc,loan_amount,term,application_type,purpose,interest_payments,loan_condition,interest_rate,grade,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
395980,14157826,2014,01/04/2014,3.0,MORTGAGE,Low,80000,20000, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,6.03,A,14.63,12174.4,10664.57,0.0,608.72,ulster
396359,14520689,2014,01/04/2014,10.0,MORTGAGE,Low,56000,8800, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,11.99,B,4.93,5845.0,4498.63,0.0,292.25,cannught
396454,15079352,2014,01/04/2014,3.0,RENT,Low,40253,12000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,8.9,A,25.91,7620.8,6271.24,0.0,381.04,leinster
396698,15540028,2014,01/04/2014,8.0,RENT,Low,65000,7500, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,7.9,A,10.89,8112.83,7500.0,0.0,234.68,Northern-Irl
396833,15709993,2014,01/04/2014,1.0,OWN,Low,85000,32000, 60 months,INDIVIDUAL,credit_card,High,Good Loan,22.45,E,21.9,17840.4,7036.75,0.0,892.02,cannught
396834,15699899,2014,01/04/2014,4.0,RENT,Medium,134000,4200, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.64,C,1.68,2897.2,2106.15,0.0,144.86,Northern-Irl
396912,15629960,2014,01/04/2014,10.0,MORTGAGE,Low,52000,18000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.16,C,18.62,8406.6,4659.5,0.0,420.33,Northern-Irl
396961,15649875,2014,01/04/2014,6.0,RENT,Low,67000,12000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,9.67,B,14.99,7707.0,6237.07,0.0,385.35,ulster
396980,15729845,2014,01/04/2014,0.5,MORTGAGE,Medium,110000,6625, 36 months,INDIVIDUAL,home_improvement,High,Good Loan,13.65,C,3.38,7293.54,6625.0,0.0,225.31,leinster
397010,15529863,2014,01/04/2014,1.0,RENT,Low,52000,10400, 60 months,INDIVIDUAL,small_business,High,Good Loan,16.59,D,4.82,5123.6,2569.24,0.0,256.18,cannught
397022,15529842,2014,01/04/2014,6.0,OWN,Low,85000,19600, 36 months,INDIVIDUAL,debt_consolidation,Low,Bad Loan,12.99,B,19.04,12545.89,9397.36,0.0,660.31,Northern-Irl
397073,15629863,2014,01/04/2014,3.0,MORTGAGE,Low,63000,6000, 36 months,INDIVIDUAL,small_business,High,Good Loan,16.59,D,16.57,7158.26,6000.0,0.0,212.7,Northern-Irl
397136,15451223,2014,01/04/2014,6.0,MORTGAGE,Low,60000,16700, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,25.8,G,11.52,18742.45,16700.0,0.0,671.08,cannught
397144,15400976,2014,01/04/2014,4.0,RENT,Low,70000,2000, 36 months,INDIVIDUAL,medical,Low,Good Loan,12.99,B,4.49,2146.71,1999.99,0.0,67.38,ulster
397177,15529820,2014,01/04/2014,6.05,RENT,Low,70000,29325, 60 months,INDIVIDUAL,debt_consolidation,High,Bad Loan,19.47,D,27.53,11238.93,1827.88,6629.01,768.32,ulster
397214,15311307,2014,01/04/2014,7.0,OWN,High,236000,27000, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,6.62,A,10.83,16580.0,14337.96,0.0,829.0,Northern-Irl
397249,15311301,2014,01/04/2014,2.0,MORTGAGE,Low,30763,5100, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,16.59,D,33.67,3623.34,2520.83,0.0,180.79,leinster
397261,15361183,2014,01/04/2014,3.0,MORTGAGE,Low,45000,17000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,10.99,B,26.13,11129.6,8753.03,0.0,556.48,leinster
397288,15479871,2014,01/04/2014,2.0,RENT,Low,60000,10000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,11.99,B,3.56,6642.0,5112.03,0.0,332.1,Northern-Irl
397296,15421145,2014,01/04/2014,10.0,MORTGAGE,Low,38000,3500, 36 months,INDIVIDUAL,credit_card,High,Good Loan,19.99,E,33.94,2601.2,1686.63,0.0,130.06,cannught
397321,15470868,2014,01/04/2014,10.0,MORTGAGE,Low,90000,18000, 36 months,INDIVIDUAL,credit_card,High,Good Loan,14.16,C,13.28,21291.87,18000.0,0.0,616.6,leinster
397342,15471203,2014,01/04/2014,0.5,RENT,Low,45000,17000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,15.31,C,19.07,17216.9,17000.0,0.0,407.21,ulster
397348,15340856,2014,01/04/2014,10.0,MORTGAGE,Medium,150000,24500, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,7.62,A,17.45,25239.02841,24500.0,0.0,763.46,ulster
397368,15321144,2014,01/04/2014,10.0,OWN,Low,80000,33575, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,19.47,D,18.44,40237.82,33575.0,0.0,879.66,munster
397414,14358122,2014,01/04/2014,10.0,MORTGAGE,Low,80000,27200, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,24.5,F,27.92,15887.24,5724.09,0.0,790.41,cannught
397492,15401010,2014,01/04/2014,5.0,RENT,Low,53000,12125, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,15.61,C,18.07,5847.0,3052.68,0.0,292.35,ulster
397500,15391008,2014,01/04/2014,0.5,RENT,Low,75000,28500, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,25.8,G,25.36,34995.91,28500.0,0.0,849.94,munster
397509,15341093,2014,01/04/2014,8.0,RENT,Low,75000,25000, 60 months,INDIVIDUAL,credit_card,High,Good Loan,14.64,C,15.46,11800.8,6412.5,0.0,590.04,ulster
397526,15351159,2014,01/04/2014,3.0,MORTGAGE,Low,77921,18000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.64,C,23.89,8496.6,4617.02,0.0,424.83,Northern-Irl
397573,15129158,2014,01/04/2014,3.0,MORTGAGE,Low,53000,20000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,19.47,D,30.73,10480.0,4669.23,0.0,524.0,cannught
397604,15301008,2014,01/04/2014,3.0,RENT,Low,54500,13750, 60 months,INDIVIDUAL,debt_consolidation,High,Bad Loan,19.47,D,18.26,6844.75,3023.88,0.0,360.25,ulster
397606,15251023,2014,01/04/2014,6.0,MORTGAGE,Medium,110000,21000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,12.49,B,12.62,14048.6,10696.45,0.0,702.43,leinster
397636,15351034,2014,01/04/2014,2.0,RENT,Low,70000,6500, 36 months,INDIVIDUAL,medical,High,Good Loan,23.43,F,14.78,5061.6,3051.08,0.0,253.08,cannught
397648,15441003,2014,01/04/2014,1.0,MORTGAGE,Low,73000,23000, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,13.65,C,29.39,24248.233330000003,23000.0,0.0,782.19,munster
397665,15470603,2014,01/04/2014,10.0,OWN,Low,37450,7800, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,15.31,C,25.1,5431.6,3892.13,0.0,271.58,cannught
397671,15389433,2014,01/04/2014,10.0,OWN,Low,55000,8000, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,6.62,A,18.57,4912.6,4248.29,0.0,245.63,munster
397672,15490914,2014,01/04/2014,8.0,RENT,Low,35325,9850, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,16.59,D,13.97,6986.27,4868.84,0.0,349.18,leinster
397707,15450212,2014,01/04/2014,10.0,MORTGAGE,Low,55500,9000, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,9.67,B,23.57,5780.4,4677.96,0.0,289.02,leinster
397722,15320949,2014,01/04/2014,3.0,MORTGAGE,Low,62000,10000, 60 months,INDIVIDUAL,home_improvement,Low,Good Loan,12.99,B,1.88,8549.6,7039.36,0.0,227.48,munster
397730,14739209,2014,01/04/2014,3.0,MORTGAGE,Medium,120000,22500, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,12.49,B,12.58,15052.0,11460.41,0.0,752.6,leinster
