id,year,issue_d,emp_length_int,home_ownership,income_category,annual_inc,loan_amount,term,application_type,purpose,interest_payments,loan_condition,interest_rate,grade,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
357486,20159237,2014,01/06/2014,8.0,RENT,Low,37000,10000, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,22.15,E,28.51,6888.42,4184.49,0.0,382.69,ulster
358522,20088512,2014,01/06/2014,6.0,RENT,Low,41000,1400, 36 months,INDIVIDUAL,other,High,Bad Loan,18.24,D,26.58,260.39,29.51,194.6,50.79,Northern-Irl
358560,20158360,2014,01/06/2014,9.0,MORTGAGE,Low,41000,18000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,16.29,D,20.61,7929.18,3969.36,0.0,440.51,cannught
358564,20138199,2014,01/06/2014,3.0,RENT,Low,68900,7000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,12.49,B,6.6,4214.7,3174.93,0.0,234.15,munster
358902,20127968,2014,01/06/2014,10.0,MORTGAGE,Low,64000,12000, 36 months,INDIVIDUAL,home_improvement,Low,Good Loan,12.99,C,24.61,13370.88,12000.0,0.0,404.27,ulster
359425,20077585,2014,01/06/2014,8.0,RENT,Low,70000,6900, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,11.67,B,8.52,6967.1025,6900.0,0.0,228.1,ulster
359788,12586984,2014,01/06/2014,4.0,MORTGAGE,Low,90000,7250, 36 months,INDIVIDUAL,home_improvement,High,Good Loan,16.29,D,6.59,8037.53,7250.0,0.0,255.93,cannught
359791,20047278,2014,01/06/2014,2.0,RENT,Low,28000,3850, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,16.99,D,16.25,2607.75,1789.41,0.0,137.25,ulster
359827,20167173,2014,01/06/2014,9.0,RENT,Low,77000,32225, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,22.15,E,26.48,37858.98,32225.0,0.0,892.77,leinster
359845,20107159,2014,01/06/2014,0.5,MORTGAGE,Low,60000,10000, 36 months,INDIVIDUAL,car,High,Good Loan,16.29,D,9.2,6354.18,4396.32,0.0,353.01,leinster
359913,19916851,2014,01/06/2014,3.0,MORTGAGE,Low,42000,18000, 60 months,INDIVIDUAL,major_purchase,High,Good Loan,17.57,D,11.57,8152.02,3867.29,0.0,452.89,leinster
359927,19958140,2014,01/06/2014,7.0,MORTGAGE,Low,48000,9000, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,8.39,A,17.71,5105.7,4218.2,0.0,283.65,munster
359995,19917800,2014,01/06/2014,6.0,MORTGAGE,Medium,142000,6000, 36 months,INDIVIDUAL,home_improvement,Low,Good Loan,7.69,A,22.52,3369.06,2827.88,0.0,187.17,leinster
360024,19878192,2014,01/06/2014,10.0,MORTGAGE,Low,77000,18900, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,18.24,D,20.67,19187.28,18900.0,0.0,482.41,ulster
360109,19716690,2014,01/06/2014,3.0,RENT,Low,94500,5000, 36 months,INDIVIDUAL,medical,Low,Good Loan,12.99,C,20.47,3183.3,2397.35,0.0,168.45,leinster
