id,year,issue_d,emp_length_int,home_ownership,income_category,annual_inc,loan_amount,term,application_type,purpose,interest_payments,loan_condition,interest_rate,grade,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
376811,17533102,2014,01/05/2014,10.0,MORTGAGE,Low,39500,3900, 36 months,INDIVIDUAL,vacation,High,Good Loan,19.52,E,20.54,2735.81,1776.57,0.0,143.99,leinster
376882,17645532,2014,01/05/2014,10.0,MORTGAGE,Low,84350,20000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,13.98,C,16.7,8838.04,4905.54,0.0,465.16,munster
376921,16141868,2014,01/05/2014,9.0,MORTGAGE,Low,76000,22500, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,12.49,B,21.73,14755.22,11347.45,0.0,752.6,cannught
376966,17795521,2014,01/05/2014,3.0,MORTGAGE,High,217000,20000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,13.98,C,15.98,22596.95,20000.0,0.0,465.16,leinster
377022,17685490,2014,01/05/2014,10.0,RENT,Low,75000,12000, 60 months,INDIVIDUAL,other,High,Good Loan,24.99,F,22.38,6690.85,2353.65,0.0,352.15,munster
377063,17735491,2014,01/05/2014,4.0,RENT,Low,46000,11000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,11.67,B,21.47,11841.15,11000.0,0.0,363.63,cannught
377351,17655275,2014,01/05/2014,10.0,MORTGAGE,Medium,150000,10000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,7.69,A,7.05,10836.4,10000.0,0.0,311.94,ulster
377353,17765170,2014,01/05/2014,7.0,RENT,Low,51600,18000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,7.69,A,21.51,10668.31,8983.77,0.0,561.49,ulster
377447,17815114,2014,01/05/2014,8.0,MORTGAGE,Medium,120000,9000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,12.49,B,13.24,8720.42,7354.6,0.0,301.04,leinster
377713,17804943,2014,01/05/2014,8.0,MORTGAGE,Low,40000,6000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,9.17,B,22.92,3634.32,2961.69,0.0,191.28,ulster
