id,year,issue_d,emp_length_int,home_ownership,income_category,annual_inc,loan_amount,term,application_type,purpose,interest_payments,loan_condition,interest_rate,grade,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
313401,26228431,2014,01/08/2014,3.0,MORTGAGE,Medium,120000,17000, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.99,C,11.91,9427.68,6629.19,0.0,589.23,ulster
313474,26308415,2014,01/08/2014,10.0,RENT,Low,40000,7000, 36 months,INDIVIDUAL,moving,High,Bad Loan,18.24,D,21.06,4062.72,2736.79,0.0,253.92,Northern-Irl
313535,26218405,2014,01/08/2014,10.0,MORTGAGE,Medium,125000,18000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,10.99,B,12.57,19833.2,18000.0,0.0,589.22,leinster
313573,26188399,2014,01/08/2014,10.0,RENT,Medium,110000,3000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,11.67,B,15.12,1586.88,1205.6,0.0,99.18,leinster
313580,26238455,2014,01/08/2014,3.0,OWN,Medium,115200,7500, 36 months,INDIVIDUAL,car,Low,Good Loan,8.39,A,12.58,3782.08,3102.56,0.0,236.38,ulster
313602,26237740,2014,01/08/2014,9.0,MORTGAGE,Medium,180000,12000, 36 months,INDIVIDUAL,debt_consolidation,Low,Bad Loan,8.39,A,11.85,4935.51,3988.36,0.0,378.2,munster
313672,26218269,2014,01/08/2014,10.0,RENT,Low,75000,6000, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,15.61,D,17.01,3356.64,2326.51,0.0,209.79,munster
313700,26218113,2014,01/08/2014,2.0,RENT,Low,52000,7000, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.99,C,2.65,3882.08,2729.77,0.0,242.63,Northern-Irl
313714,22411797,2014,01/08/2014,5.0,RENT,Low,40000,3000, 36 months,INDIVIDUAL,moving,High,Good Loan,17.57,D,4.32,1725.12,1142.63,0.0,107.82,ulster
313716,26278176,2014,01/08/2014,3.0,RENT,Low,70000,5500, 36 months,INDIVIDUAL,medical,Low,Good Loan,8.39,A,16.01,2773.6,2275.29,0.0,173.35,leinster
313752,26408172,2014,01/08/2014,7.0,RENT,Low,34000,1600, 36 months,INDIVIDUAL,other,High,Good Loan,20.2,E,31.31,954.08,594.68,0.0,59.63,ulster
313787,26378114,2014,01/08/2014,10.0,RENT,Low,57000,7000, 36 months,INDIVIDUAL,debt_consolidation,High,Bad Loan,16.99,D,26.48,1915.39,614.63,917.23,249.54,ulster
313793,26308185,2014,01/08/2014,7.0,MORTGAGE,Medium,136000,15600, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,9.17,B,12.3,7957.12,6409.16,0.0,497.32,Northern-Irl
313802,26298105,2014,01/08/2014,10.0,RENT,Low,51000,22375, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,18.24,D,38.97,9137.76,4148.94,0.0,571.11,leinster
313831,26327714,2014,01/08/2014,10.0,MORTGAGE,Low,70000,15000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,18.99,E,10.58,17975.36,15000.0,0.0,389.03,cannught
313843,26387985,2014,01/08/2014,6.0,MORTGAGE,Medium,128000,8000, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,8.39,A,0.7,8163.68,8000.0,0.0,252.14,ulster
313850,22432339,2014,01/08/2014,10.0,MORTGAGE,Low,60000,11700, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,12.49,B,18.38,6261.76,4666.95,0.0,391.36,cannught
313851,26387973,2014,01/08/2014,3.0,MORTGAGE,Low,52750,12000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,8.39,A,14.4,6051.2,4963.96,0.0,378.2,munster
313858,25517238,2014,01/08/2014,6.0,MORTGAGE,Low,58000,8000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,11.67,B,21.21,8496.98,8000.0,0.0,264.46,leinster
313859,26228125,2014,01/08/2014,3.0,RENT,Low,43796,2400, 36 months,INDIVIDUAL,medical,Low,Bad Loan,12.49,B,12.33,987.47,458.86,345.23,80.28,munster
313868,26377698,2014,01/08/2014,9.0,MORTGAGE,Low,34000,9500, 36 months,INDIVIDUAL,debt_consolidation,High,Bad Loan,14.49,C,17.68,1962.76,1312.55,0.0,326.96,Northern-Irl
313878,26378064,2014,01/08/2014,1.0,RENT,High,215000,14000, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,17.57,D,12.35,15344.9,14000.0,0.0,503.12,Northern-Irl
313890,21400485,2014,01/08/2014,6.0,RENT,Low,90000,15000, 36 months,INDIVIDUAL,debt_consolidation,High,Good Loan,16.99,D,16.25,17142.81,15000.0,0.0,534.72,ulster
313894,26277995,2014,01/08/2014,7.0,OWN,Low,38000,3000, 36 months,INDIVIDUAL,home_improvement,High,Good Loan,15.61,D,21.26,3179.34,3000.0,0.0,104.9,cannught
313895,26258006,2014,01/08/2014,6.0,RENT,Medium,130000,3000, 36 months,INDIVIDUAL,moving,High,Good Loan,17.57,D,13.41,1725.12,1142.63,0.0,107.82,cannught
